date,urbanCPI,fedFunds,clcsHPI,buildPermits,constructionPI,delRate,houseSub,income,mortRate,constructionUn,totalHouse,totalConstSpend,urbanPop,unemploymentRate,imputeGDP,year,month,Factoryear,Factormonth
2003-01-01,182.6,1.24,128.461,1808,144.4,1.97,25.93,10710.4,5.916,1654,111278,1.5,79.583,5.8,11174.129,2003,1,2003,1
2003-02-01,183.6,1.26,129.355,1854,145.2,1.97,25.93,10674,5.8425,1688,111278,-0.1,79.583,5.9,11220.341333333334,2003,2,2003,2
2003-03-01,183.9,1.25,130.148,1757,145.2,1.97,25.93,10696.5,5.745,1638,111278,-1.1,79.583,5.9,11266.553666666667,2003,3,2003,3
2003-04-01,183.2,1.26,130.884,1803,145.9,1.83,25.93,10752.7,5.8125,1662,111278,1.7,79.583,6,11312.766,2003,4,2003,4
2003-05-01,182.9,1.26,131.734,1835,145.8,1.83,25.93,10832,5.484,1733,111278,0.2,79.583,6.1,11397.400333333333,2003,5,2003,5
2003-06-01,183.1,1.22,132.649,1875,146.1,1.83,25.93,10860.6,5.23,1641,111278,2.3,79.583,6.3,11482.034666666666,2003,6,2003,6
2003-07-01,183.7,1.01,133.77700000000002,1885,147,1.73,25.93,10991.1,5.6325,1680,111278,4.1,79.583,6.2,11566.669,2003,7,2003,7
2003-08-01,184.5,1.03,134.969,1966,147.2,1.73,25.93,11066.7,6.264,1570,111278,1,79.583,6.1,11635.190666666667,2003,8,2003,8
2003-09-01,185.1,1.01,136.29399999999998,1961,149,1.73,25.93,10940.8,6.1475,1719,111278,1.2,79.583,6.1,11703.712333333333,2003,9,2003,9
2003-10-01,184.9,1.01,137.532,2012,149.6,1.76,25.93,10982.3,5.952,1728,111278,2.4,79.583,6,11772.234,2003,10,2003,10
2003-11-01,185,1,138.79399999999998,1918,150.2,1.76,25.93,11048.4,5.9325,1692,111278,3.2,79.583,5.8,11822.638333333334,2003,11,2003,11
2003-12-01,185.5,0.98,140.179,1987,149.7,1.76,25.93,11057.2,5.876,1716,111278,3.7,79.583,5.7,11873.042666666666,2003,12,2003,12
2004-01-01,186.3,1,141.64600000000002,1952,150,1.65,27.201,11051.2,5.7125,1709,112000,-1,79.757,5.7,11923.447,2004,1,2004,1
2004-02-01,186.7,1.01,143.192,1966,153.4,1.65,27.201,11071,5.635,1718,112000,0.3,79.757,5.6,11986.569666666666,2004,2,2004,2
2004-03-01,187.1,1,145.059,2066,156.5,1.65,27.201,11115.6,5.445,1794,112000,1.3,79.757,5.8,12049.692333333334,2004,3,2004,3
2004-04-01,187.4,1,146.593,2070,160.1,1.6,27.201,11153.3,5.83,1938,112000,1.2,79.757,5.6,12112.815,2004,4,2004,4
2004-05-01,188.2,1,148.186,2150,162.7,1.6,27.201,11208.9,6.27,1893,112000,2,79.757,5.6,12176.979000000001,2004,5,2004,5
2004-06-01,188.9,1.03,149.85,2020,162,1.6,27.201,11215.8,6.2875,1857,112000,1,79.757,5.6,12241.143,2004,6,2004,6
2004-07-01,189.1,1.26,151.338,2112,162.2,1.56,27.201,11240.5,6.056,1881,112000,2.9,79.757,5.5,12305.307,2004,7,2004,7
2004-08-01,189.2,1.43,152.63299999999998,2056,165.9,1.56,27.201,11274.6,5.8675,1911,112000,1.5,79.757,5.4,12379.276,2004,8,2004,8
2004-09-01,189.8,1.61,154.179,2041,167.2,1.56,27.201,11279.6,5.754,1796,112000,-0.9,79.757,5.4,12453.245,2004,9,2004,9
2004-10-01,190.8,1.76,155.75,2097,165.9,1.41,27.201,11282.5,5.7225,1839,112000,0.7,79.757,5.5,12527.214,2004,10,2004,10
2004-11-01,191.7,1.93,157.52700000000002,2079,165.5,1.41,27.201,11246.1,5.73,1758,112000,-0.1,79.757,5.4,12607.238,2004,11,2004,11
2004-12-01,191.7,2.16,159.33,2082,166.3,1.41,27.201,11659,5.752,1921,112000,2.9,79.757,5.4,12687.262,2004,12,2004,12
2005-01-01,191.6,2.28,161.28799999999998,2139,168.6,1.42,27.651,11226.5,5.71,1892,113343,1.6,79.928,5.3,12767.286,2005,1,2005,1
2005-02-01,192.4,2.5,163.344,2114,170.4,1.42,27.651,11229,5.6275,1908,113343,2.2,79.928,5.4,12819.076000000001,2005,2,2005,2
2005-03-01,193.1,2.63,165.812,2062,170,1.42,27.651,11268.8,5.928,1787,113343,0.5,79.928,5.2,12870.866,2005,3,2005,3
2005-04-01,193.7,2.79,167.50099999999998,2150,170,1.55,27.651,11304.2,5.855,1927,113343,1.1,79.928,5.2,12922.656,2005,4,2005,4
2005-05-01,193.6,3,169.351,2085,168.1,1.55,27.651,11352.7,5.72,2103,113343,0.9,79.928,5.1,12995.984666666667,2005,5,2005,5
2005-06-01,193.7,3.04,171.19,2178,167.8,1.55,27.651,11375.5,5.582,1965,113343,2.2,79.928,5,13069.313333333334,2005,6,2005,6
2005-07-01,194.9,3.26,172.86,2203,167.2,1.59,27.651,11387.1,5.695,1886,113343,1.9,79.928,5,13142.642,2005,7,2005,7
2005-08-01,196.1,3.5,174.442,2219,165.9,1.59,27.651,11405.3,5.82,1952,113343,0.8,79.928,4.9,13203.162666666667,2005,8,2005,8
2005-09-01,198.8,3.62,176.438,2263,168.9,1.59,27.651,11365.2,5.774,1922,113343,2.1,79.928,5,13263.683333333332,2005,9,2005,9
2005-10-01,199.1,3.78,178.028,2170,171.6,1.64,27.651,11428.7,6.065,1962,113343,1.8,79.928,5,13324.204,2005,10,2005,10
2005-11-01,198.1,4,179.68,2218,172.7,1.64,27.651,11500.1,6.33,1907,113343,1,79.928,5,13415.856,2005,11,2005,11
2005-12-01,198.1,4.16,180.91,2120,173.5,1.64,27.651,11535.2,6.272,1941,113343,0.8,79.928,4.9,13507.508,2005,12,2005,12
2006-01-01,199.3,4.29,182.321,2212,177.2,1.61,28.604,11651.8,6.145,2036,114384,0.8,80.099,4.7,13599.16,2006,1,2006,1
2006-02-01,199.4,4.49,183.287,2141,177.7,1.61,28.604,11702.8,6.2525,2048,114384,0.5,80.099,4.8,13650.581333333334,2006,2,2006,2
2006-03-01,199.7,4.59,184.364,2118,178.3,1.61,28.604,11747.5,6.324,2245,114384,-1.5,80.099,4.7,13702.002666666667,2006,3,2006,3
2006-04-01,200.7,4.79,184.329,1998,179,1.62,28.604,11744.4,6.5075,2071,114384,-2.6,80.099,4.7,13753.424,2006,4,2006,4
2006-05-01,201.3,4.94,184.156,1905,179.9,1.62,28.604,11736.8,6.5975,1897,114384,-2.6,80.099,4.6,13792.345333333335,2006,5,2006,5
2006-06-01,201.8,4.99,183.507,1867,180.7,1.62,28.604,11751.9,6.682,2050,114384,-2.9,80.099,4.6,13831.266666666666,2006,6,2006,6
2006-07-01,202.9,5.24,183.068,1763,182.3,1.74,28.604,11746.9,6.7625,1934,114384,-2.8,80.099,4.7,13870.188,2006,7,2006,7
2006-08-01,203.8,5.25,182.594,1722,182.6,1.74,28.604,11737,6.524,1877,114384,-2.3,80.099,4.7,13926.645333333334,2006,8,2006,8
2006-09-01,202.8,5.25,182.798,1655,183.3,1.74,28.604,11800.1,6.4025,2011,114384,-1.8,80.099,4.5,13983.102666666666,2006,9,2006,9
2006-10-01,201.9,5.25,183.198,1570,182.3,1.92,28.604,11853.7,6.3575,1918,114384,-2.1,80.099,4.4,14039.56,2006,10,2006,10
2006-11-01,202,5.25,183.609,1535,179.8,1.92,28.604,11901.9,6.24,1893,114384,-2.2,80.099,4.5,14098.257,2006,11,2006,11
2006-12-01,203.1,5.24,184.139,1638,179.8,1.92,28.604,11958.6,6.135,1888,114384,-0.6,80.099,4.4,14156.954,2006,12,2006,12
2007-01-01,203.437,5.25,184.517,1626,181.1,2.08,29.512,11956.6,6.2175,1822,116011,-1.4,80.269,4.6,14215.651,2007,1,2007,1
2007-02-01,204.226,5.26,184.598,1598,181.5,2.08,29.512,11996,6.285,1640,116011,-1.1,80.269,4.5,14277.794666666667,2007,2,2007,2
2007-03-01,205.288,5.26,184.15,1596,182.5,2.08,29.512,12035.1,6.156,1623,116011,-0.7,80.269,4.4,14339.938333333334,2007,3,2007,3
